"","dtpv","date","time","district","kts","kuch","fatal","injury","driving_mode","latitude","longitude","road_cat","road_cond","weather_cond"
"1","collision",2019-01-01,2020-06-01 00:50:00,"vasil",4,3,0,2,"open",30.27169,59.946269,"local","wet","clear"
"2","collision",2019-01-01,2020-06-01 01:20:00,"kalin",2,4,0,2,"part_closed",30.435809,60.004345,"local","unknown","clouds"
"3","pedestrian_hit",2019-01-01,2020-06-01 02:35:00,"kirov",1,3,0,2,"open",30.212874,59.833328,"local","unknown","clouds"
"4","collision",2019-01-01,2020-06-01 04:30:00,"primorsk",2,3,0,1,"part_closed",30.130455,59.999329,"local","dirty","clouds"
"5","collision",2019-01-01,2020-06-01 05:05:00,"admiral",3,3,0,1,"open",30.318167,59.913369,"local","snow","snow"
"6","pedestrian_hit",2019-01-01,2020-06-01 05:10:00,"kirov",1,2,0,1,"open",30.259953,59.87005,"local","snow","snow"
"7","pedestrian_hit",2019-01-01,2020-06-01 05:27:00,"center",1,2,0,1,"part_closed",30.337265,59.947967,"local","wet","clouds"
"8","obstacle_hit",2019-01-01,2020-06-01 10:00:00,"kalin",1,3,1,2,"part_closed",30.411658,59.970649,"local","wet","clouds"
"9","obstacle_hit",2019-01-01,2020-06-01 12:45:00,"krasnogvard",3,3,0,2,"part_closed",30.457277,59.967825,"local","snow","clouds"
"10","collision",2019-01-01,2020-06-01 13:30:00,"kirov",2,2,0,1,"part_closed",30.210847,59.824269,"local","snow","snow"
"11","collision",2019-01-01,2020-06-01 13:40:00,"frunz",2,3,0,1,"open",30.420917,59.845057,"local","snow","unknown"
"12","collision",2019-01-01,2020-06-01 13:45:00,"krasnosel",2,2,0,1,"part_closed",30.175774,59.824123,"local","unknown","unknown"
"13","collision",2019-01-01,2020-06-01 14:04:00,"nevski",2,3,0,1,"part_closed",30.444853,59.875683,"local","unknown","snow"
"14","pedestrian_hit",2019-01-01,2020-06-01 16:00:00,"admiral",1,2,0,1,"open",30.301741,59.911508,"local","snow","clouds"
"15","obstacle_hit",2019-01-01,2020-06-01 16:10:00,"kirov",1,1,0,1,"part_closed",30.211887,59.824436,"local","snow","snow"
"16","collision",2019-01-01,2020-06-01 16:10:00,"primorsk",2,3,0,1,"part_closed",30.316826,59.994587,"local","snow","snow"
