"","dtpv","date","time","district","kts","kuch","fatal","injury","driving_mode","latitude","longitude","road_cat","road_cond","weather_cond"
"1","Столкновение",2019-01-01,2020-06-01 00:50:00,"Василеостровский район",4,3,0,2,"Режим движения не изменялся","30.27169","59.946269","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Ясно "
"2","Столкновение",2019-01-01,2020-06-01 01:20:00,"Калининский район",2,4,0,2,"Движение частично перекрыто","30.435809","60.004345","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"3","Наезд на пешехода",2019-01-01,2020-06-01 02:35:00,"Кировский район",1,3,0,2,"Режим движения не изменялся","30.212874","59.833328","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"4","Столкновение",2019-01-01,2020-06-01 04:30:00,"Приморский район",2,3,0,1,"Движение частично перекрыто","30.130455","59.999329","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Загрязненное","Пасмурно "
"5","Столкновение",2019-01-01,2020-06-01 05:05:00,"Адмиралтейский район",3,3,0,1,"Режим движения не изменялся","30.318167","59.913369","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"6","Наезд на пешехода",2019-01-01,2020-06-01 05:10:00,"Кировский район",1,2,0,1,"Режим движения не изменялся","30.259953","59.87005","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"7","Наезд на пешехода",2019-01-01,2020-06-01 05:27:00,"Центральный район",1,2,0,1,"Движение частично перекрыто","30.337265","59.947967","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"8","Наезд на препятствие",2019-01-01,2020-06-01 10:00:00,"Калининский район",1,3,1,2,"Движение частично перекрыто","30.411658","59.970649","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"9","Наезд на препятствие",2019-01-01,2020-06-01 12:45:00,"Красногвардейский район",3,3,0,2,"Движение частично перекрыто","30.457277","59.967825","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"10","Столкновение",2019-01-01,2020-06-01 13:30:00,"Кировский район",2,2,0,1,"Движение частично перекрыто","30.210847","59.824269","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
